epoch,GPU,batchNum,modelCutID_T,allDelay,SendSrunModelReci,CModelDelay
2,1,4,11,8171,7299,872
2,1,4,12,8341,7399,942
2,1,4,13,8589,7571,1018
2,1,4,14,4085,3050,1035
2,1,4,15,3613,2500,1113
2,1,4,16,3595,2465,1130
2,1,4,17,3569,2413,1156
2,1,4,18,2746,1597,1149
2,1,4,19,2166,313,1853
2,1,4,20,2179,215,1964
2,1,4,21,2143,138,2005
2,1,4,22,2176,156,2020
2,0,5,0,5727,5522,205
2,0,5,1,73593,73513,80
2,0,5,2,73776,73358,418
2,0,5,3,20282,19715,567
2,0,5,4,36867,36231,636
2,0,5,5,37528,36632,896
2,0,5,6,11478,10570,908
2,0,5,7,18940,17944,996
2,0,5,8,19105,17979,1126
2,0,5,9,19389,18105,1284
2,0,5,10,7167,5813,1354
2,0,5,11,10499,9078,1421
2,0,5,12,10410,8933,1477
2,0,5,13,10303,8699,1604
2,0,5,14,5064,3397,1667
2,0,5,15,4265,2610,1655
2,0,5,16,4532,2791,1741
2,0,5,17,4494,2754,1740
2,0,5,18,3210,1512,1698
2,0,5,19,2908,421,2487
2,0,5,20,2846,257,2589
2,0,5,21,2820,144,2676
2,0,5,22,2804,159,2645
2,1,5,0,4974,4720,254
2,1,5,1,72256,72191,65
2,1,5,2,72413,72021,392
2,1,5,3,19501,19004,497
2,1,5,4,36453,35841,612
2,1,5,5,36600,35763,837
2,1,5,6,11187,10272,915
2,1,5,7,18933,17954,979
2,1,5,8,18935,17807,1128
2,1,5,9,19311,18041,1270
2,1,5,10,7052,5749,1303
2,1,5,11,10283,8927,1356
2,1,5,12,10441,8978,1463
2,1,5,13,10551,8962,1588
2,1,5,14,5039,3464,1575
2,1,5,15,4598,2888,1709
2,1,5,16,4515,2829,1686
2,1,5,17,4517,2789,1728
2,1,5,18,3475,1726,1749
2,1,5,19,2853,419,2434
2,1,5,20,2862,238,2624
2,1,5,21,2726,138,2588
2,1,5,22,2750,137,2613
3,0,1,0,3038,2804,234
3,0,1,1,16308,16285,23
3,0,1,2,16663,16514,149
3,0,1,3,5704,5498,206
3,0,1,4,9056,8817,239
3,0,1,5,9059,8722,337
3,0,1,6,3825,3453,372
3,0,1,7,5424,5026,398
3,0,1,8,5210,4748,462
3,0,1,9,5160,4624,536
3,0,1,10,2766,2238,528
3,0,1,11,3381,2776,604
3,0,1,12,3317,2670,647
3,0,1,13,3325,2613,712
3,0,1,14,2241,1503,738
3,0,1,15,2187,1426,761
3,0,1,16,2148,1397,751
3,0,1,17,2074,1283,791
3,0,1,18,1867,1059,808
3,0,1,19,1831,360,1470
3,0,1,20,1796,140,1656
3,0,1,21,1765,128,1637
3,0,1,22,1776,129,1647
3,1,1,0,2099,2006,93
3,1,1,1,15284,15264,20
3,1,1,2,15482,15331,151
3,1,1,3,5028,4844,184
3,1,1,4,8453,8217,236
3,1,1,5,8589,8250,339
3,1,1,6,3435,3067,368
3,1,1,7,4998,4602,396
3,1,1,8,5015,4546,469
3,1,1,9,5075,4544,531
3,1,1,10,2694,2148,546
3,1,1,11,3406,2810,596
3,1,1,12,3435,2819,616
3,1,1,13,3449,2762,687
3,1,1,14,2288,1585,703
3,1,1,15,2186,1466,720
3,1,1,16,2268,1508,760
3,1,1,17,2248,1496,752
